County,License Number,Operation Type,Establishment Type,Entity Name,DBA Name,Street Number,Street Name,Address Line 2,Address Line 3,City,State,Zip Code,Square Footage,Longitude,Latitude,,Street Address
New York,625174,Store,A,CVS ALBANY LLC,CVS PHARMACY 02671,750,AVENUE OF AMERICAS,,,NEW YORK,NY,10010,10250,,,,750 AVENUE OF AMERICAS
New York,625172,Store,A,CVS ALBANY LLC,CVS PHARMACY 02557,253,FIRST AVE,,,NEW YORK,NY,10003,2000,-73.982251,40.731786,,253 FIRST AVE
New York,625171,Store,JAC,ECONOMY CANDY CORP,ECONOMY CANDY TOO,108,RIVINGTON ST,,,NEW YORK,NY,10002,5000,-73.98793,40.719946,,108 RIVINGTON ST
New York,625170,Store,A,CVS ALBANY LLC,CVS PHARMACY 02556,275,THIRD AV,,,NEW YORK,NY,10010,15000,-73.983849,40.737872,,275 THIRD AV
New York,625169,Store,A,CVS ALBANY LLC,CVS PHARMACY 02457,320,FIFTH AVE,,,NEW YORK,NY,10001,8000,-73.985389,40.747325,,320 FIFTH AVE
New York,625168,Store,A,CVS ALBANY LLC,CVS PHARMACY 02445,540,AMSTERDAM AVE,,,NEW YORK,NY,10024,8000,-73.974752,40.788047,,540 AMSTERDAM AVE
New York,625167,Store,A,CVS ALBANY LLC,CVS PHARMACY 02940,500,W 42ND ST,,,NEW YORK,NY,10036,6000,-73.995705,40.759724,,500 W 42ND ST
New York,625166,Store,A,CVS ALBANY LLC,CVS PHARMACY 02939,500,GRAND ST,,,NEW YORK,NY,10002,20000,-73.98271,40.714793,,500 GRAND ST
New York,625165,Store,A,CVS ALBANY LLC,CVS PHARMACY 02773,130,DYCKMAN ST,,,NEW YORK,NY,10040,20000,-73.925366,40.862559,,130 DYCKMAN ST
New York,625164,Store,A,CVS ALBANY LLC,CVS PHARMACY 02737,115,W 125TH ST,,,NEW YORK,NY,10027,11000,-73.946154,40.80806,,115 W 125TH ST
New York,625163,Store,A,CVS ALBANY LLC,CVS PHARMACY 03752,630,LEXINGTON AVE,,,NEW YORK,NY,10022,5000,-73.970548,40.758988,,630 LEXINGTON AVE
New York,625150,Store,JAC,DAGOSTINOS MARKETS LLC,DAGOSTINOS SUPERMARKETS,966,1ST AVE AT 53RD ST,,,NEW YORK,NY,10022,13000,,,,966 1ST AVE AT 53RD ST
New York,625141,Store,JAC,ONE ABINGDON SQUARE ENTERP INC,ABINGDON MARKET,1,ABINGDON SQ,,,NEW YORK,NY,10014,3000,-74.00539,40.73702,,1 ABINGDON SQ
New York,625131,Store,A,RITE AID DRUG PALACE INC,RITE AID PHARMACY 01711,408,GRAND ST,,,NEW YORK,NY,10002,16000,-73.986435,40.715907,,408 GRAND ST
New York,625130,Store,A,RITE AID OF NEW YORK INC,RITE AID PHARMACY 04971,550,SECOND AVE,,,NEW YORK,NY,10016,6000,-73.977038,40.742798,,550 SECOND AVE
New York,625129,Store,A,RITE AID OF NEW YORK INC,RITE AID PHARMACY 04945,35-45,W 125TH ST,,,NEW YORK,NY,10027,10000,-73.943874,40.807095,,35-45 W 125TH ST
New York,625124,Store,A,RITE AID OF NEW YORK INC,RITE AID PHARMACY 04887,4910,BROADWAY,,,NEW YORK,NY,10034,8000,-73.922123,40.867374,,4910 BROADWAY
